Equipment Type,PM Type,Checklist Item
ALL,250H,Ensure all wheel chocks are present
ALL,250H,Perform park brake test as per attached sheet
ALL,250H,Perform Service brake test as per attach. Sheet
ALL,250H,Where applicable test ABA (auto brake application)
ALL,250H,Check mounting and operation of all lights
ALL,250H,Check operation and condition of all gauges
ALL,250H,Check seat and seat belts for condition and mounting
ALL,250H,Check unit over for visible leaks
ALL,250H,Check condition of bucket and lip
ALL,250H,Wash machine thoroughly including all coolers
ALL,250H,"Check for unusual noises, vibrations or behaviors"
ALL,250H,Operator Compartment
ALL,250H,Check and refill windshield washers
ALL,250H,Check all wiper blades
ALL,250H,Check condition of all cab glass
ALL,250H,Check seat and seat belts for condition and mounting
ALL,250H,Change cab air filter
ALL,250H,Test steering lockout
ALL,250H,ENGINE SECTION
ALL,250H,Check and retorque engine mounts
ALL,250H,Inspect all intake and exhaust piping and manifolds
ALL,250H,"Inspect fan, fan drive and belts adjust if required"
ALL,250H,Lubricate fan hub
ALL,250H,"Check alternator mounts, belts and charging"
ALL,250H,Check starter mounting and operation
ALL,250H,"Check for oil, coolant or fuel leaks"
ALL,250H,Check and adjust coolant additive (DEAC)
ALL,250H,Clean centrifugal oil cleaner
ALL,250H,Check all engine harnesses for condition and mounting
ALL,250H,"Check purifiers, mounting and back pressure"
ALL,250H,Change engine oil and filters
ALL,250H,Change all fuel filters
ALL,250H,Change inner and outer air elements if required
ALL,250H,"Start engine check for leaks, oil pressure and operation"
ALL,250H,TRANSMISSION AND CONVERTOR
ALL,250H,Check and adjust oil level (change if dirty or burnt)
ALL,250H,Check shifting and neutral start operation
ALL,250H,Check convertor out pressure ________ PSI
ALL,250H,Check transmission clutch pressure _______ PSI
ALL,250H,Check convertor mounting bolts
ALL,250H,Inspect and lubricate high speed driveline
ALL,250H,Check input and output bearings
ALL,250H,Check closely for leaks
ALL,250H,Check condition and mounting of all hoses
ALL,250H,Check transmission mounted park brake linkage and adjustment
ALL,250H,Front Axle
ALL,250H,Check axle and planetary oil levels and conditons
ALL,250H,Check entire axle for leaks
ALL,250H,Clean axle breather
ALL,250H,Check axle tie bolts condition and tightness
ALL,250H,Retorque wheel nuts
ALL,250H,Check condition of tires and rims
ALL,250H,Check all hoses and wiring under front half of machine
ALL,250H,Rear Axle
ALL,250H,Check rear axle and planetary oil levels and condition
ALL,250H,Check over entire axle for leaks
ALL,250H,Clean axle breather
ALL,250H,Check axle mounting bolts 
ALL,250H,Inspect and lubricate oscillating axle assembly
ALL,250H,Retorque wheel nuts
ALL,250H,Check condition of tires and rims
ALL,250H,Check all hoses and wiring under rear half of machine
ALL,250H,BRAKES SYSTEM
ALL,250H,"Check condition, mounting leaks on all brake cooling lines"
ALL,250H,Check brake cooling oil level (change if burnt or dirty)
ALL,250H,Check for damaged or worn brake lines
ALL,250H,Check proper operation of all brake valves
ALL,250H,Ensure all brake pressures are correct
ALL,250H,Check entire brake system for leaks
ALL,250H,Check visual wear indicators on all 4 service brakes
ALL,250H,Check all brake accumulators pre-charge pressure
ALL,250H,HYDRAULICS SYSTEM
ALL,250H,Check hydraulic oil level and condition
ALL,250H,Check over entire unit for hydraulic leaks
ALL,250H,Check and record main hydraulic pressure
ALL,250H,"Check all hoses for mounting, routing and condition"
ALL,250H,Check mounting of all pumps and valves
ALL,250H,Check all hydraulic functions for proper operation
ALL,250H,STEERING SYSTEM
ALL,250H,Check and record steering pressure
ALL,250H,Check steering operation and speed
ALL,250H,Check operation of emergency steering
ALL,250H,Check operation of dump valve
ALL,250H,Check steering accumulator pre-charge
ALL,250H,Check condition of all steering linkage
ALL,250H,Check adjustment and condition of steering stops
ALL,250H,Check condition of steering pins and bushings
ALL,250H,Check condition of steering cylinders
ALL,250H,ELECTRICAL SYSTEM 
ALL,250H,Check clean and tighten all battery connections and mounts
ALL,250H,Check electrolyte level and specific gravity
ALL,250H,Check all gauges and switches condition and operation
ALL,250H,Check all wiring and harnessess condition and mounting
ALL,250H,Check all lights for operation and condition
ALL,250H,Check function of FSS engine shutdown
ALL,250H,FRAME & ATTACHMENTS
ALL,250H,Check and adjust centre pins as required
ALL,250H,"Check steer, dump and hoist cyl. pins and bushings"
ALL,250H,Check bucket pins and bushings for condition
ALL,250H,Check bucket for wear or cracks
ALL,250H,Check all boom pins and bushings for condition
ALL,250H,Check entire boom for damage or cracks
ALL,250H,Check entire frame for damage or cracks
ALL,250H,"Check ROPS for damage, cracks and mounting"
ALL,250H,Ensure ROPS tag is securely mounted and legible
ALL,250H,Check fire extinguisher mounting and condition
ALL,250H,Inspect all grease lines mounting and condition
ALL,250H,Inspect all grease fittings conditon and functionality
ALL,250H,Grease entire unit
ALL,250H,FIRE SUPPRESSION (MANUAL SYSTEM)
ALL,250H,Units Equipped with Checkfire use Ansul Inspection Sheet
ALL,250H,Note general appearance and mount of dry chemical tank
ALL,250H,"Check nameplates for readabilty, mounting and corrosion"
ALL,250H,"Remove fill cap,examine gasket, threads and relief vent"
ALL,250H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,250H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,250H,Ensure tank is securely mounted and damage free
ALL,250H,Disengage burst disc union and examing burst disc
ALL,250H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,250H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,250H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,250H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,250H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,250H,Remove expellant gas cartridge check for damage or corrosion
ALL,250H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,250H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,250H,Return cartridge to receiver and hand tighten
ALL,250H,Ensure FSS engine shutdown is functional
ALL,250H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,500H,Ensure all wheel chocks are present
ALL,500H,Perform park brake test as per attached sheet
ALL,500H,Perform Service brake test as per attach. Sheet
ALL,500H,Where applicable test ABA (auto brake application)
ALL,500H,Check mounting and operation of all lights
ALL,500H,Check operation and condition of all gauges
ALL,500H,Check seat and seat belts for condition and mounting
ALL,500H,Check unit over for visible leaks
ALL,500H,Check condition of bucket and lip
ALL,500H,Wash machine thoroughly including all coolers
ALL,500H,"Check for unusual noises, vibrations or behaviors"
ALL,500H,Operator Compartment
ALL,500H,Check and refill windshield washers
ALL,500H,Check all wiper blades
ALL,500H,Check condition of all cab glass
ALL,500H,Check seat and seat belts for condition and mounting
ALL,500H,Change cab air filter
ALL,500H,Test steering lockout
ALL,500H,Engine
ALL,500H,Check and retorque engine mounts
ALL,500H,Inspect all intake and exhaust piping and manifolds
ALL,500H,"Inspect fan, fan drive and belts adjust if required"
ALL,500H,Lubricate fan hub assy. (do not overgrease)
ALL,500H,"Check alternator mounts, belts and charging"
ALL,500H,Check starter mounting and operation
ALL,500H,"Check for oil, coolant or fuel leaks"
ALL,500H,Check coolant level and strength
ALL,500H,Clean centrifugal oil cleaner
ALL,500H,Check all engine harnesses for condition and mounting
ALL,500H,"Check purifiers, mounting and back pressure"
ALL,500H,Change engine oil and filters
ALL,500H,Change all fuel filters
ALL,500H,Change inner and outer air elements if required
ALL,500H,Clean engine crankcase breather
ALL,500H,"Start engine check for leaks,oil pressure and operation"
ALL,500H,TRANSMISSION AND CONVERTOR
ALL,500H,Check and adjust oil level (change if dirty or burnt)
ALL,500H,Change transmission filter
ALL,500H,Check shifting and neutral start operation
ALL,500H,Check convertor out pressure ________ PSI
ALL,500H,Check transmission clutch pressure _______ PSI
ALL,500H,Check convertor mounting bolts
ALL,500H,Inspect and lubricate high speed driveline
ALL,500H,Check input and output bearings
ALL,500H,Check closely for leaks
ALL,500H,Check condition and mounting of all hoses
ALL,500H,Check transmission mounted park brake linkage and adjustment
ALL,500H,Front Axle
ALL,500H,Check axle and planetary oil levels and conditons
ALL,500H,Check entire axle for leaks
ALL,500H,Clean axle breather
ALL,500H,Check axle tie bolts condition and tightness
ALL,500H,Check condition and mounting of park brake calipers
ALL,500H,Retorque wheel nuts
ALL,500H,Check condition of tires and rims
ALL,500H,Check all hoses and wiring under front half of machine
ALL,500H,Rear Axle
ALL,500H,Check rear axle and planetary oil levels and condition
ALL,500H,Check over entire axle for leaks
ALL,500H,Clean axle breather
ALL,500H,Check axle mounting bolts 
ALL,500H,Inspect and lubricate oscillating axle assembly
ALL,500H,Retorque wheel nuts
ALL,500H,Check condition of tires and rims
ALL,500H,Check all hoses and wiring under rear half of machine
ALL,500H,BRAKES SYSTEM
ALL,500H,"Check condition, mounting leaks on all brake cooling lines"
ALL,500H,Check brake cooling oil level (change if burnt or dirty)
ALL,500H,Check for damaged or worn brake lines
ALL,500H,Check proper operation of all brake valves
ALL,500H,Ensure all brake pressures are correct
ALL,500H,Check entire brake system for leaks
ALL,500H,Check visual wear indicators on all 4 service brakes
ALL,500H,Check all brake accumulators pre-charge pressure
ALL,500H,HYDRAULICS SYSTEM
ALL,500H,Check hydraulic oil level and condition
ALL,500H,Change all hydraulic filters
ALL,500H,Check over entire unit for hydraulic leaks
ALL,500H,Check and record main hydraulic pressure
ALL,500H,"Check all hoses for mounting, routing and condition"
ALL,500H,Check mounting of all pumps and valves
ALL,500H,Check all hydraulic functions for proper operation
ALL,500H,STEERING SYSTEM
ALL,500H,Check and record steering pressure
ALL,500H,Check steering operation and speed
ALL,500H,Check operation of emergency steering
ALL,500H,Check operation of dump valve
ALL,500H,Check steering accumulator pre-charge
ALL,500H,Check condition of all steering linkage
ALL,500H,Check adjustment and condition of steering stops
ALL,500H,Check condition of steering pins and bushings
ALL,500H,Check condition of steering cylinders
ALL,500H,ELECTRICAL SYSTEM 
ALL,500H,Check clean and tighten all battery connections and mounts
ALL,500H,Check electrolyte level and specific gravity
ALL,500H,Check all gauges and switches condition and operation
ALL,500H,Check all wiring and harnessess condition and mounting
ALL,500H,Check all lights for operation and condition
ALL,500H,Check function of FSS engine shutdown
ALL,500H,FRAME & ATTACHMENTS
ALL,500H,Check and adjust centre pins as required
ALL,500H,"Check steer, dump and hoist cyl. pins and bushings"
ALL,500H,Check bucket pins and bushings for condition
ALL,500H,Check bucket for wear or cracks
ALL,500H,Check all boom pins and bushings for condition
ALL,500H,Check entire boom for damage or cracks
ALL,500H,Check entire frame for damage or cracks
ALL,500H,"Check ROPS for damage, cracks and mounting"
ALL,500H,Ensure ROPS tag is securely mounted and legible
ALL,500H,Check fire extinguisher mounting and condition
ALL,500H,Inspect all grease lines mounting and condition
ALL,500H,Inspect all grease fittings conditon and functionality
ALL,500H,Grease entire unit
ALL,500H,FIRE SUPPRESSION (MANUAL SYSTEM)
ALL,500H,Units Equipped with Checkfire use Ansul Inspection Sheet
ALL,500H,Note general appearance and mount of dry chemical tank
ALL,500H,"Check nameplates for readabilty, mounting and corrosion"
ALL,500H,"Remove fill cap,examine gasket, threads and relief vent"
ALL,500H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,500H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,500H,Ensure tank is securely mounted and damage free
ALL,500H,Disengage burst disc union and examing burst disc
ALL,500H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,500H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,500H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,500H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,500H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,500H,Remove expellant gas cartridge check for damage or corrosion
ALL,500H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,500H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,500H,Return cartridge to receiver and hand tighten
ALL,500H,Ensure FSS engine shutdown is functional
ALL,500H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,1000H,Ensure all wheel chocks are present
ALL,1000H,Perform park brake test as per attached sheet
ALL,1000H,Perform Service brake test as per attach. Sheet
ALL,1000H,Where applicable test ABA (auto brake application)
ALL,1000H,Check mounting and operation of all lights
ALL,1000H,Check operation and condition of all gauges
ALL,1000H,Check seat and seat belts for condition and mounting
ALL,1000H,Check unit over for visible leaks
ALL,1000H,Check condition of bucket and lip
ALL,1000H,Wash machine thoroughly including all coolers
ALL,1000H,"Check for unusual noises, vibrations or behaviors"
ALL,1000H,Operator Compartment
ALL,1000H,Check and refill windshield washers
ALL,1000H,Check all wiper blades
ALL,1000H,Check condition of all cab glass
ALL,1000H,Check seat and seat belts for condition and mounting
ALL,1000H,Change cab air filter
ALL,1000H,Test steering lockout
ALL,1000H,ENGINE SECTION
ALL,1000H,Check and retorque engine mounts
ALL,1000H,Inspect all intake and exhaust piping and manifolds
ALL,1000H,"Inspect fan, fan drive and belts adjust if required"
ALL,1000H,Lubricate fan hub assy. (do not overgrease)
ALL,1000H,"Check alternator mounts, belts and charging"
ALL,1000H,Check starter mounting and operation
ALL,1000H,"Check for oil, coolant or fuel leaks"
ALL,1000H,Check coolant level and strength
ALL,1000H,Clean engine crankcase breather
ALL,1000H,Clean purifiers (reverse flush)
ALL,1000H,Clean fuel tank cap and strainer
ALL,1000H,Check all engine harnesses for condition and mounting
